epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,166.272,0.41013,0.86343,1,0.33892,0.00332392,0.00332392,0.00332392
2,319.083,0.17501,0.91572,1,0.24349,0.00664407,0.00664407,0.00664407
3,471.249,0.14385,0.90938,1,0.29188,0.00995102,0.00995102,0.00995102
4,623.919,0.12483,0.94075,1,0.18968,0.0099406,0.0099406,0.0099406
5,776.193,0.09046,0.94582,1,0.154,0.0099208,0.0099208,0.0099208
6,931.122,0.07521,0.95374,1,0.1664,0.009901,0.009901,0.009901
7,1084.99,0.05634,0.94645,1,0.1856,0.0098812,0.0098812,0.0098812
8,1236.06,0.05923,0.92839,1,0.21159,0.0098614,0.0098614,0.0098614
9,1387.65,0.05251,0.86217,1,0.49418,0.0098416,0.0098416,0.0098416
10,1541.88,0.05424,0.93758,1,0.22057,0.0098218,0.0098218,0.0098218
11,1695.38,0.04883,0.94265,1,0.18906,0.009802,0.009802,0.009802
12,1847.58,0.04906,0.94518,1,0.19052,0.0097822,0.0097822,0.0097822
13,2000.55,0.04993,0.94455,1,0.18611,0.0097624,0.0097624,0.0097624
14,2152.31,0.04957,0.9493,1,0.17328,0.0097426,0.0097426,0.0097426
15,2305.4,0.04653,0.92997,1,0.23942,0.0097228,0.0097228,0.0097228
16,2459.64,0.04552,0.9379,1,0.19452,0.009703,0.009703,0.009703
17,2612.7,0.04348,0.94392,1,0.18978,0.0096832,0.0096832,0.0096832
18,2765.02,0.05029,0.94328,1,0.20479,0.0096634,0.0096634,0.0096634
19,2916.78,0.05115,0.94613,1,0.1834,0.0096436,0.0096436,0.0096436
20,3067.92,0.04664,0.94708,1,0.16889,0.0096238,0.0096238,0.0096238
21,3219.38,0.04886,0.94138,1,0.19637,0.009604,0.009604,0.009604
22,3371.41,0.0462,0.94613,1,0.19341,0.0095842,0.0095842,0.0095842
23,3522.41,0.04672,0.94962,1,0.1675,0.0095644,0.0095644,0.0095644
24,3673.88,0.04185,0.95089,1,0.18373,0.0095446,0.0095446,0.0095446
25,3827.66,0.04321,0.94613,1,0.17758,0.0095248,0.0095248,0.0095248
26,3981.72,0.04144,0.94804,1,0.18112,0.009505,0.009505,0.009505
27,4132.88,0.04129,0.94582,1,0.18742,0.0094852,0.0094852,0.0094852
28,4285.66,0.04028,0.94645,1,0.20484,0.0094654,0.0094654,0.0094654
29,4437.54,0.03886,0.94138,1,0.19939,0.0094456,0.0094456,0.0094456
30,4589.93,0.04148,0.9436,1,0.2209,0.0094258,0.0094258,0.0094258
31,4741.89,0.04031,0.94962,1,0.18633,0.009406,0.009406,0.009406
32,4896.76,0.03672,0.94613,1,0.18917,0.0093862,0.0093862,0.0093862
33,5050.7,0.0421,0.93758,1,0.21407,0.0093664,0.0093664,0.0093664
